key,name,unsettling_description,original_description
124,Golden Mask,TODO,A creepy golden mask probably used in an ancient magic ritual. A socket in the forehead contains a large purple gemstone.
125,Golden Relic,TODO,It's a golden slab with heiroglyphs and pictures emblazoned onto the front.
126,Strange Doll,It just wants to spend your whole life with you.,???
127,Strange Doll,What a beautiful smile you have.,???
128,Pufferfish,"Expands to stab with poisonous spines when threatened. Its cousin, the pufferchick, is much more friendly.",Inflates when threatened.
129,Anchovy,Suspected of ruining many a soup.,A small silver fish found in the ocean.
130,Tuna,TODO,A large fish that lives in the ocean.
131,Sardine,TODO,A common ocean fish.
132,Bream,TODO,A fairly common river fish that becomes active at night.
136,Largemouth Bass,TODO,A popular fish that lives in lakes.
137,Smallmouth Bass,TODO,A freshwater fish that is very sensitive to pollution.
138,Rainbow Trout,TODO,A freshwater trout with colorful markings.
139,Salmon,"In fall, these fish swim miles upstream and die just to mate.",Swims upstream to lay its eggs.
140,Walleye,TODO,A freshwater fish caught at night.
141,Perch,TODO,A freshwater fish of the winter.
142,Carp,TODO,A common pond fish.
143,Catfish,This ugly bottom-feeder will eat just about anything.,An uncommon fish found in streams.
144,Pike,TODO,A freshwater fish that's difficult to catch.
145,Sunfish,TODO,A common river fish.
146,Red Mullet,TODO,Long ago these were kept as pets.
147,Herring,TODO,A common ocean fish.
148,Eel,Wriggles and writhes just like some long organ.,"A long, slippery little fish."
149,Octopus,"The tentacles give a tingly, suckling sensation.",A mysterious and intelligent creature.
150,Red Snapper,TODO,A popular fish with a nice red color.
151,Squid,"These soft-bodied animals are known to be incredibly intelligent. Still, delicious.",A deep sea creature that can grow to enormous size.
152,Seaweed,TODO,It can be used in cooking.
153,Green Algae,"The consistency of cold snot, with the occasional satisfying crunch.",It's really slimy.
154,Sea Cucumber,TODO,"A slippery, slimy creature found on the ocean floor."
155,Super Cucumber,TODO,"A rare, purple variety of sea cucumber."
156,Ghostfish,Should have left it in the water...,"A pale, blind fish found in underground lakes."
157,White Algae,It leaves a fragrant white film on your hands.,It's super slimy.
158,Stonefish,TODO,A bizarre fish that's shaped like a brick.
159,Crimsonfish,TODO,Lives deep in the ocean but likes to lay its eggs in the warm summer water.
160,Angler,This eerie fish is known for the sexual parasitism of its disturbing reproductive cycle.,Uses a bioluminescent dangler to attract prey.
161,Ice Pip,"A frozen, zombified fish. Don't let it bite you. You might be able to use it as a weapon, though.",A rare fish that thrives in extremely cold conditions.
162,Lava Eel,Legend says it survives by feeding off the remains of travelers who drown in the mines.,It can somehow survive in pools of red-hot lava.
163,Legend,"The grandfather of all largemouth bass in the lake, now torn from his home.",The king of all fish! They said he'd never be caught.
164,Sandfish,It hides using camouflage. Sometimes you can see the sand move as it waits for prey.,It tries to hide using camouflage.
165,Scorpion Carp,The unholy union of a scorpion and a carp. Keep hands away from tailfin!,It's like a regular carp but with a sharp stinger.
166,Treasure Chest,"Many of the coins inside are stained an ugly dark red, almost black.","Wow, it's loaded with treasure! This is sure to fetch a good price."
167,Joja Cola,Food safety authorities have questioned the blue chemical used to color this drink.,The flagship product of Joja corporation.
168,Trash,TODO,It's junk.
169,Driftwood,The weathered remnant of a drowned tree.,A piece of wood from the sea.
170,Broken Glasses,TODO,It looks like someone lost their glasses. They're busted.
171,Broken CD,"Faded blue marker on one side mentions ""blackmail"", but the rest is indiscernible.",It's a JojaNet 2.0 trial CD. They must've made a billion of these things.
172,Soggy Newspaper,Filled with propaganda and word vomit. Worthless.,This is trash.
176,Egg,A regular white egg. Fresh from a chicken's cloaca!,A regular white chicken egg.
174,Large Egg,An uncommonly large white egg. Can you imagine how the chicken must have stretched?,It's an uncommonly large white egg!
178,Hay,Delicious grass corpses for your animal friends.,Dried grass used as animal food.
180,Egg,A regular brown egg. Fresh from a chicken's cloaca!,A regular brown chicken egg.
182,Large Egg,An uncommonly large brown egg. Can you imagine how the chicken must have stretched?,It's an uncommonly large brown egg!
184,Milk,A jug of cow tiddy juice. Yum.,A jug of cow's milk.
186,Large Milk,Voluminous secretions from a bulging cow udder.,A large jug of cow's milk.
188,Green Bean,TODO,"A juicy little bean with a cool, crisp snap."
190,Cauliflower,TODO,"Valuable, but slow-growing. Despite its pale color, the florets are packed with nutrients."
191,Ornate Necklace,TODO,A fancy necklace found in the water outside of the bath house. It's still wet...
192,Potato,"It doesn't seem like much, but you'd be glad of it in a famine.",A widely cultivated tuber.
194,Fried Egg,Mmm~ unborn chicken cooked in crushed nut juice.,Sunny-side up.
195,Omelet,"Fluffy, congealed cow AND chicken juices. Are you gonna eat that?",It's super fluffy.
196,Salad,"Assorted dismembered plant materials, tossed with a flavorful dressing.",A healthy garden salad.
197,Cheese Cauliflower,Plants taste better with curdled cow juice on them.,It smells great!
198,Baked Fish,TODO,Baked fish on a bed of herbs.
199,Parsnip Soup,TODO,It's fresh and hearty.
200,Vegetable Medley,TODO,This is very nutritious.
201,Complete Breakfast,This would make a very satisfying last meal.,You'll feel ready to take on the world!
202,Fried Calamari,The sapient flesh is deliciously chewy.,It's so chewy.
203,Strange Bun,What's inside? OH SWEET YOBA IT'S SPIDERS!,What's inside?
204,Lucky Lunch,So tasty that luck-bringing spirits will nest in your belly to eat it.,A special little meal.
205,Fried Mushroom,You can still taste the dirt.,Earthy and aromatic.
206,Pizza,It has pineapples on it. *shudder*,It's popular for all the right reasons.
207,Bean Hotpot,TODO,It sure is healthy.
208,Glazed Yams,"If you can't stomach eating your vegetables, drown them in sugar first.",Sweet and satisfying... The sugar gives it a hint of caramel.
209,Carp Surprise,The carp is not the surprising part of this meal.,It's bland and oily.
210,Hashbrowns,TODO,Crispy and golden-brown!
211,Pancakes,TODO,"A double stack of fluffy, soft pancakes."
212,Salmon Dinner,Cooked flesh of a fish with a squirt of something yellow... thats what makes it special. ;),The lemon spritz makes it special.
213,Fish Taco,A fishy smell is normal for this taco.,It smells delicious.
214,Crispy Bass,TODO,"Wow, the breading is perfect."
215,Pepper Poppers,TODO,Spicy breaded peppers filled with cheese.
216,Bread,The greatest thing since the elves disappeared.,A crusty baguette.
218,Tom Kha Soup,TODO,These flavors are incredible!
219,Trout Soup,TODO,Pretty salty.
220,Chocolate Cake,Moist.,Rich and moist with a thick fudge icing.
221,Pink Cake,TODO,There's little heart candies on top.
222,Rhubarb Pie,TODO,"Mmm, tangy and sweet!"
223,Cookie,"Granny Evelyn's ""special"" cookies.",Very chewy.
224,Spaghetti,TODO,An old favorite.
225,Fried Eel,Greasy on the outside and mushy on the inside. At least it's no longer slimy.,Greasy but flavorful.
226,Spicy Eel,TODO,It's really spicy! Be careful.
227,Sashimi,TODO,Raw fish sliced into thin pieces.
228,Maki Roll,TODO,Fish and rice wrapped in seaweed.
229,Tortilla,TODO,Can be used as a vessel for food or eaten by itself.
230,Red Plate,TODO,Full of antioxidants.
231,Eggplant Parmesan,TODO,"Tangy, cheesy, and wonderful."
232,Rice Pudding,TODO,"It's creamy, sweet, and fun to eat."
233,Ice Cream,The taste brings to mind screaming children.,It's hard to find someone who doesn't like this.
234,Blueberry Tart,TODO,It's subtle and refreshing.
235,Autumn's Bounty,TODO,A taste of the season.
236,Pumpkin Soup,TODO,A seasonal favorite.
237,Super Meal,TODO,It's a really energizing meal.
238,Cranberry Sauce,The gelatinized corpses of countless cranberries. How could you?!,A festive treat.
239,Stuffing,"Oh, you'll be stuffed, all right.",Ahh... the smell of warm bread and sage.
240,Farmer's Lunch,TODO,This'll keep you going.
241,Survival Burger,A vegetarian alternative for the health-conscious cannibal.,A convenient snack for the explorer.
242,Dish O' The Sea,TODO,This'll keep you warm in the cold sea air.
243,Miner's Treat,TODO,This should keep your energy up.
244,Roots Platter,TODO,This'll get you digging for more.
245,Sugar,The leading cause of diabetes.,Adds sweetness to pastries and candies. Too much can be unhealthy.
246,Wheat Flour,TODO,A common cooking ingredient made from crushed wheat seeds.
247,Oil,A vital ingredient in fried food and clogged arteries.,All purpose cooking oil.
248,Garlic,Keeps the bloodsuckers away.,Adds a wonderful zestiness to dishes. High quality garlic can be pretty spicy.
250,Kale,TODO,The waxy leaves are great in soups and stir frys.
251,Tea Sapling,TODO,"Takes 20 days to mature. Produces tea leaves during the final week of each season, except winter. No watering necessary!"
252,Rhubarb,TODO,"The stalks are extremely tart, but make a great dessert when sweetened."
253,Triple Shot Espresso,"Causes irregular or rapid heartbeat in high doses. Just ignore it, it's probably fine.",It's more potent than regular coffee!
254,Melon,TODO,"A cool, sweet summer treat."
256,Tomato,"Belongs to the nightshade family, but don't worry, it's not poisonous.","Rich and slightly tangy, the Tomato has a wide variety of culinary uses."
257,Morel,TODO,Sought after for its unique nutty flavor.
258,Blueberry,TODO,A popular berry reported to have many health benefits. The blue skin has the highest nutrient concentration.
259,Fiddlehead Fern,TODO,The young shoots are an edible specialty.
260,Hot Pepper,It'll make your face melt.,Fiery hot with a hint of sweetness.
261,Warp Totem: Desert,Warps all time and space to re-center Calico Desert on your current physical location. Consumed on use.,Warp directly to Calico Desert. Consumed on use.
262,Wheat,TODO,One of the most widely cultivated grains. Makes a great flour for breads and cakes.
264,Radish,TODO,A crisp and refreshing root vegetable with hints of pepper when eaten raw.
266,Red Cabbage,TODO,Often used in salads and coleslaws. The color can range from purple to blue to green-yellow depending on soil conditions.
268,Starfruit,TODO,"An extremely juicy fruit that grows in hot, humid weather. Slightly sweet with a sour undertone."
270,Corn,TODO,"One of the most popular grains. The sweet, fresh cobs are a summer favorite."
271,Unmilled Rice,May cause avian stomachs to explode when eaten.,Rice in its rawest form. Run this through a mill to increase the value.
272,Eggplant,TODO,A rich and wholesome relative of the tomato. Delicious fried or stewed.
273,Rice Shoot,TODO,Plant these in the spring. Takes 8 days to mature. Grows faster if planted near a body of water. Harvest with the scythe.
274,Artichoke,Harvested without slave labour.,"The bud of a thistle plant. The spiny outer leaves conceal a fleshy, filling interior."
275,Artifact Trove,Be careful breaking this open. You could get an artifact... or unleash a very angry specter.,A blacksmith can open this for you. These troves often contain ancient relics and curiosities.
276,Pumpkin,TODO,"A fall favorite, grown for its crunchy seeds and delicately flavored flesh. As a bonus, the hollow shell can be carved into a festive decoration."
277,Wilted Bouquet,TODO,A gift that shows you want to stop dating someone.
278,Bok Choy,TODO,The leafy greens and fibrous stalks are healthy and delicious.
279,Magic Rock Candy,Colorful candy made from literal rocks. Seems like something meant to trick children.,A rare and powerful candy infused with the essence of the prismatic shard.
280,Yam,TODO,A starchy tuber with a lot of culinary versatility.
281,Chanterelle,TODO,A tasty mushroom with a fruity smell and slightly peppery flavor.
282,Cranberries,TODO,These tart red berries are a traditional winter food.
283,Holly,"Crisp and juicy berries. Alas, some things are only edible once.",The leaves and bright red berries make a popular winter decoration.
284,Beet,TODO,"A sweet and earthy root vegatable. As a bonus, the leaves make a great salad."
286,Cherry Bomb,A small explosive device that is unfortunately tempting for small children.,Generates a small explosion. Stand back!
287,Bomb,A civilian version of a mass-produced explosive from the Gotoro war.,Generates an explosion. Watch out!
288,Mega Bomb,A devastatingly powerful bomb intended to inflict maximum damage and harm.,Generates a powerful explosion. Use with extreme caution.
290,Stone,UNOBTAINABLE,...
293,Brick Floor,"Chunks of brick can make decent weapons, in a pinch. Place on the ground to create paths or floors.",Place on the ground to create paths or to decorate your floors.
294,Twig,UNOBTAINABLE,...
295,Twig,UNOBTAINABLE,...
296,Salmonberry,The color is eerily similar to salmon... eggs.,A spring-time berry with the flavor of the forest.
297,Grass Starter,"Plant this for your animals to eat. When you scythe it, you can smell the grass screaming in pain as it dies.",Place this on your farm to start a new patch of grass.
298,Hardwood Fence,Makes a stronger prison than an iron fence.,The most durable type of fence.
299,Amaranth Seeds,TODO,Plant these in the fall. Takes 7 days to grow. Harvest with the scythe.
300,Amaranth,A purple grain like a thousand years old. Good luck actually enjoying this dust.,A purple grain cultivated by an ancient civilization.
301,Grape Starter,"TODO Plant in fall, 10 days, reharvestable. Trellis crop.","Plant these in the fall. Takes 10 days to grow, but keeps producing after that. Grows on a trellis."
302,Hops Starter,"TODO Plant in summer, 11 days, reharvestable. Trellis crop.","Plant these in the summer. Takes 11 days to grow, but keeps producing after that. Grows on a trellis."
303,Pale Ale,Drink before and after driving a bus if your name is Pam.,Drink in moderation.
304,Hops,TODO,"A bitter, tangy flower used to flavor beer."
305,Void Egg,Might give birth to the Darkness itself. Do you dare to let it hatch?,A jet-black egg with red flecks. It's warm to the touch.
306,Mayonnaise,Technically an oily egg yolk. Someone came up with this great idea!,It looks spreadable.
307,Duck Mayonnaise,Spreadable essence of unborn duck. Goes great in sandwiches.,"It's a rich, yellow mayonnaise."
308,Void Mayonnaise,"Your mortal, dimensionally finite stomach cannot hope to endure its unfathomable nutrients.","A thick, black paste that smells like burnt hair."
309,Acorn,TODO,Place this on your farm to plant an oak tree.
310,Maple Seed,A winged tree seed that bears uncanny resemblance to an insect.,Place this on your farm to plant a maple tree.
311,Pine Cone,Tiny ants crawl between the rough scales.,Place this on your farm to plant a pine tree.
313,Weeds,UNOBTAINABLE,...
314,Weeds,UNOBTAINABLE,...
315,Weeds,UNOBTAINABLE,...
316,Weeds,UNOBTAINABLE,...
317,Weeds,UNOBTAINABLE,...
318,Weeds,UNOBTAINABLE,...
319,Weeds,UNOBTAINABLE,...
320,Weeds,UNOBTAINABLE,...
321,Weeds,UNOBTAINABLE,...
322,Wood Fence,Keeps grass and animals imprisoned!,Keeps grass and animals contained!
323,Stone Fence,Makes a stronger prison than a wood fence.,Lasts longer than a wood fence.
324,Iron Fence,Makes a stronger prison than a stone fence.,Lasts longer than a stone fence.
325,Gate,TODO,Allows you to pass through a fence.
326,Dwarvish Translation Guide,NON-INVENTORY,Teaches you dwarvish.
328,Wood Floor,TODO,Place on the ground to create paths or to decorate your floors.
329,Stone Floor,TODO,Place on the ground to create paths or to spruce up your floors.
330,Clay,"Not very tasty, 0 out of 10. (2 out of 10 with rice)",Used in crafting and construction.
331,Weathered Floor,Deliberately crafted to give a haunted look. Place on the ground to create paths or floors.,Place on the ground to create paths or to spruce up your floors.
333,Crystal Floor,Has an unnaturally smooth surface. Place on the ground to create paths or floors.,Place on the ground to create paths or to spruce up your floors.
334,Copper Bar,TODO,A bar of pure copper.
335,Iron Bar,TODO,A bar of pure iron.
336,Gold Bar,TODO,A bar of pure gold.
337,Iridium Bar,TODO,A bar of pure iridium.
338,Refined Quartz,TODO,A more pure form of quartz.
340,Honey,"Bee spit. The bees use it to feed their young, so it should be fine for human consumption, right?",It's a sweet syrup produced by bees.
341,Tea Set,TODO,Fine porcelain.
342,Pickles,Jar of soggy vegetables left to cure in a pool of brine.,A jar of your home-made pickles.
343,Stone,UNOBTAINABLE,Stone.
344,Jelly,Gooey. Mayor Lewis would approve.,Gooey.
346,Beer,"Mm, you can really taste how old this liquid is!",Drink in moderation.
347,Rare Seed,TODO,Sow in fall. Takes all season to grow.
348,Wine,Drink to forget.,Drink in moderation.
349,Energy Tonic,This drug will give you the 'youthful' energy to go all night long!,Restores a lot of energy.
350,Juice,Life-blood squeezed from vegetables for easy-to-drink vitamins!,"A sweet, nutritious beverage."
351,Muscle Remedy,Harvey's special steroids. Removes exhaustion.,"When you've pushed your body too hard, drink this to remove 'Exhaustion'."
368,Basic Fertilizer,Your crops have a slight chance to grow larger in soil sprinkled with tree blood.,"Improves soil quality a little, increasing your chance to grow quality crops. Mix into tilled soil."
369,Quality Fertilizer,Improves the chance of higher quality harvests by repurposing dead fish.,"Improves soil quality, increasing your chance to grow quality crops. Mix into tilled soil."
370,Basic Retaining Soil,TODO,This soil has a chance of staying watered overnight. Mix into tilled soil.
371,Quality Retaining Soil,TODO,This soil has a good chance of staying watered overnight. Mix into tilled soil.
372,Clam,Taking home invasion to new heights.,Someone lived here once.
373,Golden Pumpkin,It glistens like capitalism!,It's valuable but has no other purpose.
378,Copper Ore,Choking hazard: Not for children under 3 years.,A common ore that can be smelted into bars.
380,Iron Ore,TODO,A fairly common ore that can be smelted into bars.
382,Coal,A bit of magic and fire has turned old bones to coal. Should be safe to use.,A combustible rock that is useful for crafting and smelting.
384,Gold Ore,TODO,A precious ore that can be smelted into bars.
386,Iridium Ore,TODO,An exotic ore with many curious properties. Can be smelted into bars.
388,Wood,A highly flammable building material.,"A sturdy, yet flexible plant material with a wide variety of uses."
390,Stone,The most ancient and versatile of all weapons and tools.,A common material with many uses in crafting and building.
392,Nautilus Shell,TODO,An ancient shell.
393,Coral,TODO,A colony of tiny creatures that clump together to form beautiful structures.
394,Rainbow Shell,TODO,It's a very beautiful shell.
395,Coffee,"Brown, bitter liquid made from straining hot water through burnt, pulverized seeds.",It smells delicious. This is sure to give you a boost.
396,Spice Berry,Contains orbs of pungent flesh that burst when prodded.,It fills the air with a pungent aroma.
397,Sea Urchin,TODO,"A slow-moving, spiny creature that some consider a delicacy."
398,Grape,With skins peeled they feel like wet eyeballs.,A sweet cluster of fruit.
399,Spring Onion,TODO,These grow wild during the spring.
400,Strawberry,TODO,"A sweet, juicy favorite with an appealing red color."
401,Straw Floor,Toss dead grass around for a nice fall look.,Place on the ground to create paths or to spruce up your floors.
402,Sweet Pea,TODO,A fragrant summer flower.
403,Field Snack,TODO,A quick snack to fuel the hungry forager.
404,Common Mushroom,"Someday they will decompose *your* remains. If you must eat, chew gently.","Slightly nutty, with good texture."
405,Wood Path,Decorate with milled tree carcasses. Place on the ground to create paths or floors.,Place on the ground to create paths or to spruce up your floors.
406,Wild Plum,TODO,Tart and juicy with a pungent aroma.
407,Gravel Path,"Small, sharp rocks to step on. Place on the ground to create paths or floors.",Place on the ground to create paths or to spruce up your floors.
408,Hazelnut,TODO,That's one big hazelnut!
409,Crystal Path,Falling on this surface risks a thousand cuts. Place on the ground to create paths or floors.,Place on the ground to create paths or to spruce up your floors.
410,Blackberry,TODO,An early-fall treat.
411,Cobblestone Path,TODO,Place on the ground to create paths or to spruce up your floors.
412,Winter Root,TODO,A starchy tuber.
413,Blue Slime Egg,You can see the embryo of a baby slime bouncing within. Hatch it in a slime incubator.,Can be hatched in a slime incubator.
414,Crystal Fruit,Could break your teeth.,A delicate fruit that pops up from the snow.
415,Stepping Stone Path,TODO,Place on the ground to create paths or to spruce up your floors.
416,Snow Yam,TODO,This little yam was hiding beneath the snow.
417,Sweet Gem Berry,TODO,It's by far the sweetest thing you've ever smelled.
418,Crocus,TODO,A flower that can bloom in the winter.
419,Vinegar,TODO,An aged fermented liquid used in many cooking recipes.
420,Red Mushroom,Poisonous. But fun to eat anyway.,A spotted mushroom sometimes found in caves.
421,Sunflower,TODO,A common misconception is that the flower turns so it's always facing the sun.
422,Purple Mushroom,"Brightly colored. They say this one isn't poisonous, so it should be safe to eat.",A rare mushroom found deep in caves.
423,Rice,A popular wedding projectile.,A basic grain often served under vegetables.
424,Cheese,Cow milk exposed to bacteria and allowed to curdle. Eat up!,It's your basic cheese.
426,Goat Cheese,"Squishy, congealed milk from a goat's udder. Considered a delicacy by many.",Soft cheese made from goat's milk.
428,Cloth,TODO,A bolt of fine wool cloth.
430,Truffle,TODO,A gourmet type of mushroom with a unique taste.
432,Truffle Oil,It's wonderfully lubricating.,A gourmet cooking ingredient.
433,Coffee Bean,"Grows in spring and summer; reharvestable. Whatever you do, don't stuff it up your nose.",Plant in spring or summer to grow a coffee plant. Place five beans in a keg to make coffee.
434,Stardrop,NON-INVENTORY,"A mysterious fruit that empowers those who eat it. The flavor is like a dream... a powerful personal experience, yet difficult to describe to others."
436,Goat Milk,"If cow lactations aren't your thing, try this variant!",The milk of a goat.
437,Red Slime Egg,It only takes 100 slime carcasses to make one of these. Hatch it in a slime incubator.,Can be hatched in a slime incubator.
438,L. Goat Milk,The goat's swollen udder must feel much better after squeezing all of this out.,A gallon of creamy goat's milk.
439,Purple Slime Egg,A developing youngling of the most dangerous variety of slime monster. Hatch it in a slime incubator.,Can be hatched in a slime incubator.
440,Wool,"That sheep will be cold and shivering, but sure, enjoy how soft this is!","Soft, fluffy wool."
441,Explosive Ammo,"Owing to improper storage, it causes hundreds of unfortunate child deaths each year.",Fire this with the slingshot.
442,Duck Egg,It's still warm... somehow.,It's still warm.
444,Duck Feather,This exquisite feather was plucked out of a duck's butt.,It's so colorful.
446,Rabbit's Foot,A successful amputation from a peculiar rabbit species that seems to regrow lost feet.,Some say it's lucky.
447,Aged Roe,"Aged fish fetuses covered in a thick, gooey substance. The salt brings out the flavor.",Fish eggs aged in salt to bring out the flavor.
449,Stone Base,UNOBTAINABLE,A simple block of stone.
450,Stone,UNOBTAINABLE,Stone.
452,Weeds,UNOBTAINABLE,A cluster of dry old bushes.
454,Ancient Fruit,"There's no evidence to confirm that this fruit could harbor an ancient, long-dormant disease.",It's been dormant for eons.
456,Algae Soup,It's a 'little' slimy. As in 'slimy to the point where you're eating more slime than soup'.,It's a little slimy.
457,Pale Broth,Very similar to algae soup with the additional flavour of rotten eggs.,A delicate broth with a hint of sulfur.
458,Bouquet,A colorful bunch of severed plant reproductive organs. Maybe your sweetheart will get the hint?,A gift that shows your romantic interest.
459,Mead,"Old, fermented bee spit! Delicious!",A fermented beverage made from honey. Drink in moderation.
460,Mermaid's Pendant,A ghost ripped this from a mermaid so you can woo your lover.,Give this to the person you want to marry.
461,Decorative Pot,UNOBTAINABLE,A replica of an ancient pot.
463,Drum Block,Beating this to a specific pattern might just awaken the wrong god.,Plays a drum sound when you walk past.
464,Flute Block,"Go ahead. Play your haunting melodies, see what happens.",Plays a flute sound when you walk past.
465,Speed-Gro,Increases growth rate by at least 10%. You have to wonder if this would work on other things.,Stimulates leaf production. Guaranteed to increase growth rate by at least 10%. Mix into tilled soil.
466,Deluxe Speed-Gro,TODO Increases growth rate by at least 25%.,Stimulates leaf production. Guaranteed to increase growth rate by at least 25%. Mix into tilled soil.
