key,name,unsettling_description,original_description
68,Grandfather Clock,UNOBTAINABLE,It's so old... looks like the pendulum is rusted in place.
69,Teddy Timer,UNOBTAINABLE,It's a grandfather clock shaped like a teddy.
70,Dead Tree,UNOBTAINABLE,"It's been petrified for a long time, poor thing."
71,Staircase,Hopefully the monsters chasing you won't know how to use stairs.,Use this to move down a level in the mines.
72,Tall Torch,UNOBTAINABLE,The stem is made from bamboo.
73,Ritual Mask,UNOBTAINABLE,It's way too large to wear.
74,Bonfire,UNOBTAINABLE,The red embers glow softly.
75,Bongo,UNOBTAINABLE,A decorative percussion instrument with a rich sound.
76,Decorative Spears,UNOBTAINABLE,Not a very safe decoration.
78,Boulder,UNOBTAINABLE,An extremely dense piece of stone.
79,Door,UNOBTAINABLE,A hidden mechanism causes it to retract into the ground.
80,Door,UNOBTAINABLE,A hidden mechanism causes it to retract into the ground.
81,Locked Door,UNOBTAINABLE,A hidden mechanism causes it to retract into the ground.
82,Locked Door,UNOBTAINABLE,A hidden mechanism causes it to retract into the ground.
83,Wicked Statue,TODO,There's something unsettling about the looks of this statue.
84,Wicked Statue,UNOBTAINABLE,Something's not right with this statue.
85,Sloth Skeleton L,TODO,"This extinct sloth roamed the lush, prehistoric forests of Stardew Valley. Its powerful jaw tore through the toughest plant fibers."
86,Sloth Skeleton M,TODO,The ribs of a prehistoric sloth.
87,Sloth Skeleton R,TODO,The hind legs and tail of a prehistoric sloth.
88,Standing Geode,TODO,It's a huge geode mounted on a stand. Hundreds of purple crystals shimmer within.
89,Obsidian Vase,"If you put your whole arm inside, you might be able to reach the bottom.",A beautifully crafted ornamental vase made from obsidian and gold.
90,Crystal Chair,TODO,"A fancy, delicate chair made from crystals."
94,Singing Stone,"Emits a captivating melody. The longer you listen, the harder it is to look away.",It rings out with a pure tone when struck.
95,Stone Owl,TODO,"It's not clear where this came from, but it looks very fine."
96,Strange Capsule,ALREADY UNSETTLING,There's something fleshy bobbing around in the fluid...
98,Empty Capsule,Wh... where did the thing go that was inside it?,Part of the glass is shattered.
99,Feed Hopper,NON-INVENTORY,Provides convenient access to silo fodder.
101,Incubator,NON-INVENTORY,Hatches eggs into baby chickens and ducks.
104,Heater,TODO,Keeps your animals warmer and happier during the winter.
105,Tapper,Handy tools to drain the life out of trees!,"Place on a maple, oak, or pine tree and wait for the reservoir to fill with product!"
106,Camera,UNOBTAINABLE,An old camera mounted on a tripod.
107,Plush Bunny,The fur looks awfully real.,"It's big, it's soft, and it's cute."
108,Tub o' Flowers,"The flowers are so fragrant, they mask all other odors.",Flowers planted in an oak barrel. Blooms in spring and summer.
109,Tub o' Flowers,"The flowers are so fragrant, they mask all other odors.",Flowers planted in an oak barrel. Blooms in spring and summer.
110,Rarecrow,An unfortunate prince cursed into stasis. Collect them all! (1 of 8),Collect them all! (1 of 8)
111,Decorative Pitcher,UNOBTAINABLE,Hand-made out of brass.
112,Dried Sunflowers,TODO,A vibrant home decoration.
113,Rarecrow,A miserable sorceress cursed into stasis. Collect them all! (2 of 8),Collect them all! (2 of 8)
114,Charcoal Kiln,Burns once-living things into lumps of useful coal.,Turns 10 pieces of wood into one piece of coal.
116,Stardew Hero Trophy,A shiny prop for your meager self-esteem.,The most prestigious award a Stardew Valley resident could receive!
117,Soda Machine,Just enough to keep you coming back.,Keeps pumping out the good stuff.
118,Barrel,UNOBTAINABLE,...
119,Crate,UNOBTAINABLE,...
120,Barrel,UNOBTAINABLE,...
121,Crate,UNOBTAINABLE,...
122,Barrel,UNOBTAINABLE,...
123,Crate,UNOBTAINABLE,...
124,Barrel,UNOBTAINABLE,...
125,Crate,UNOBTAINABLE,...
126,Rarecrow,An ethereal being cursed into stasis. Collect them all! (3 of 8),Collect them all! (3 of 8)
127,Statue Of Endless Fortune,It seems to know the preferences of everyone in town...,It's made of solid gold. What's it for?
128,Mushroom Box,NON-INVENTORY,Mushrooms grow every few days
130,Chest,"Out of sight, out of mind.",A place to store your items.
136,Rarecrow,A living sculpture cursed into stasis. Collect them all! (4 of 8),Collect them all! (4 of 8)
137,Rarecrow,A hapless farmer cursed into stasis. Collect them all! (5 of 8),Collect them all! (5 of 8)
138,Rarecrow,A live dwarf child cursed into stasis. Collect them all! (6 of 8),Collect them all! (6 of 8)
139,Rarecrow,An unlucky scavenger cursed into stasis. Collect them all! (7 of 8),Collect them all! (7 of 8)
140,Rarecrow,A possessed mask cursed into stasis. Collect them all! (8 of 8),Collect them all! (8 of 8)
141,Prairie King Arcade System,PARENTAL ADVISORY: may cause fits of frustration-induced violence.,Play 'Journey Of The Prairie King' at home!
143,Wooden Brazier,Fends off the terrors of the night. Provides moderate light.,Provides a moderate amount of light.
144,Stone Brazier,TODO Provides moderate light.,Provides a moderate amount of light.
145,Gold Brazier,TODO Provides moderate light.,Provides a moderate amount of light.
146,Campfire,Don't leave it unattended.,Provides a moderate amount of light.
147,Stump Brazier,Only you can prevent forest fires. Provides moderate light.,Provides a moderate amount of light.
148,Carved Brazier,TODO Provides moderate light.,Provides a moderate amount of light.
149,Skull Brazier,"No, this isn't a real skull... probably. Provides moderate light.",Provides a moderate amount of light.
150,Barrel Brazier,A fire in a wooden barrel sounds very safe. Provides moderate light.,Provides a moderate amount of light.
151,Marble Brazier,TODO Provides moderate light.,Provides a moderate amount of light.
152,Wood Lamp-post,TODO Provides abundant light.,Provides a good amount of light.
153,Iron Lamp-post,TODO Provides abundant light.,Provides a good amount of light.
154,Worm Bin,Produces bait. Close the lid to give the worms some privacy.,Produces bait on a regular basis. The worms are self-sufficient.
155,??HMTGF??,ALREADY UNSETTLING,??HMTGF??
156,Slime Incubator,"Brings writhing, oozing creatures to life. Place slime eggs inside to hatch them.",Hatches slimes eggs into slimes. Allows you to raise slimes outdoors.
158,Slime Egg-Press,Compresses slaughtered slime remains into a new life form.,Compresses 100 pieces of slime into a slime egg. It's a miracle of science!
159,Junimo Kart Arcade System,The reward for thy suffering is more suffering.,Play 'Junimo Kart' at home!
160,Statue Of Perfection,Beware the curse. Too much iridium.,It's made of pure iridium.
161,??Pinky Lemon??,ALREADY UNSETTLING,??Pinky Lemon??
162,??Foroguemon??,ALREADY UNSETTLING,??Foroguemon??
163,Cask,TODO,Use in the cellar to age products like wine and cheese.
164,Solid Gold Lewis,This statue would look good in purple shorts.,Mayor's secret project.
165,Auto-Grabber,TODO,Automatically harvests from your animals each morning. Must be placed inside a coop or barn.
167,Deluxe Scarecrow,"An aggregation of trapped souls, hostile enough to drive thieving creatures away from a distance (about 16 ""tiles"").","Prevents crows from attacking your crops. Has a large radius (about 16 ""tiles"")."
184,Seasonal Plant,Feeds on your exhaled breath.,An ornamental plant that changes with each season. It doesn't need to be watered.
188,Seasonal Plant,"Dies and grows back every year, but it never seems to need water.",An ornamental plant that changes with each season. It doesn't need to be watered.
192,Seasonal Plant,This artificial plant somehow changes with the seasons.,An ornamental plant that changes with each season. It doesn't need to be watered.
196,Seasonal Plant,It's happiest in the hot sun of the desert.,An ornamental plant that changes with each season. It doesn't need to be watered.
200,Seasonal Plant,"An invasive species, this shrub causes colony collapse disorder in local bee populations.",An ornamental plant that changes with each season. It doesn't need to be watered.
204,Seasonal Plant,Seasonal. Keep away from pets.,An ornamental plant that changes with each season. It doesn't need to be watered.
208,Workbench,TODO,"When crafting here, you'll have access to materials in any adjacent chests."
209,Mini-Jukebox,"Supposedly battery-powered, but the power source never seems to need replacement.",Allows you to play your favorite tunes.
211,Wood Chipper,"Breaks things down into tiny pieces. Meant for hardwood, but maybe a body would fit...",Insert a piece of hardwood to break it down into regular wood.
216,Mini-Fridge,Not big enough for meat. Storing crops and forage ingredients will have to do.,Allows you to store additional ingredients for cooking.
219,Cursed P.K. Arcade System,UNOBTAINABLE,Something's not right with this Prairie King Arcade System...
